"Batches", "n_estimators = 3", "n_estimators = 5", "n_estimators = 10", "n_estimators = 20", "n_estimators = 40"
1,0.645508,0.825195,0.645508,0.691406,0.646484
2,0.739258,0.850586,0.773438,0.772461,0.761719
3,0.817383,0.852539,0.849609,0.855469,0.853516
4,0.878906,0.821289,0.894531,0.932617,0.928711
5,0.899414,0.819336,0.858398,0.854492,0.898438
6,0.862305,0.826172,0.841797,0.838867,0.842773
7,0.865234,0.839844,0.885742,0.887695,0.861328
8,0.898438,0.851562,0.870117,0.87793,0.875
9,0.904297,0.860352,0.925781,0.889648,0.882812
10,0.901367,0.90332,0.891602,0.895508,0.924805
11,0.908203,0.887695,0.957031,0.893555,0.928711
12,0.885742,0.881836,0.9375,0.888672,0.880859
13,0.838867,0.895508,0.886719,0.884766,0.905273
14,0.84082,0.893555,0.882812,0.885742,0.90918
15,0.882812,0.943359,0.883789,0.891602,0.881836
16,0.885742,0.950195,0.874023,0.896484,0.90918
17,0.887695,0.953125,0.854492,0.896484,0.897461
18,0.870117,0.919922,0.854492,0.904297,0.917969
19,0.864258,0.927734,0.851562,0.896484,0.913086
20,0.864258,0.949219,0.894531,0.904297,0.924805
21,0.866211,0.970703,0.871094,0.90332,0.913086
22,0.901367,0.958984,0.905273,0.889648,0.912109
23,0.916016,0.955078,0.904297,0.887695,0.904297
24,0.917969,0.958008,0.904297,0.901367,0.90918
25,0.919922,0.958008,0.901367,0.90625,0.922852
26,0.898438,0.972656,0.90918,0.913086,0.931641
27,0.886719,0.967773,0.924805,0.90918,0.933594
28,0.875977,0.896484,0.916992,0.874023,0.885742
29,0.881836,0.904297,0.927734,0.882812,0.890625
30,0.882812,0.90332,0.914062,0.87207,0.890625
31,0.898438,0.894531,0.923828,0.915039,0.907227
32,0.859375,0.886719,0.882812,0.889648,0.875977
33,0.868164,0.891602,0.894531,0.894531,0.890625
34,0.87793,0.896484,0.889648,0.917969,0.899414
35,0.878906,0.925781,0.897461,0.924805,0.920898
36,0.907227,0.947266,0.929688,0.939453,0.926758
37,0.923828,0.955078,0.936523,0.943359,0.93457
38,0.938477,0.961914,0.942383,0.932617,0.931641
39,0.928711,0.984375,0.942383,0.935547,0.930664
40,0.925781,0.96582,0.929688,0.926758,0.926758
41,0.913086,0.956055,0.942383,0.932617,0.924805
42,0.908203,0.958984,0.938477,0.9375,0.933594
43,0.930664,0.958008,0.944336,0.946289,0.944336
44,0.916992,0.938477,0.938477,0.9375,0.933594
45,0.919922,0.927734,0.9375,0.932617,0.931641
46,0.90918,0.924805,0.93457,0.932617,0.928711
47,0.924805,0.925781,0.949219,0.935547,0.933594
48,0.921875,0.916992,0.946289,0.936523,0.926758
49,0.913086,0.916992,0.941406,0.939453,0.925781
50,0.912109,0.921875,0.942383,0.946289,0.9375
51,0.914062,0.920898,0.945312,0.931641,0.929688
52,0.90918,0.926758,0.942383,0.926758,0.931641
53,0.90625,0.935547,0.942383,0.928711,0.926758
54,0.90332,0.939453,0.942383,0.925781,0.922852
55,0.90332,0.93457,0.946289,0.928711,0.925781
56,0.904297,0.932617,0.944336,0.926758,0.922852
57,0.901367,0.93457,0.944336,0.928711,0.925781
58,0.902344,0.929688,0.944336,0.931641,0.921875
59,0.900391,0.926758,0.945312,0.932617,0.921875
60,0.907227,0.961914,0.948242,0.943359,0.93457
61,0.916992,0.939453,0.950195,0.9375,0.9375
62,0.918945,0.949219,0.959961,0.944336,0.941406
63,0.9375,0.954102,0.962891,0.952148,0.946289
64,0.935547,0.958008,0.964844,0.954102,0.947266
65,0.9375,0.952148,0.962891,0.953125,0.946289
66,0.933594,0.957031,0.963867,0.954102,0.950195
67,0.93457,0.954102,0.955078,0.949219,0.945312
68,0.942383,0.955078,0.962891,0.957031,0.952148
69,0.939453,0.956055,0.958008,0.956055,0.950195
70,0.953125,0.955078,0.967773,0.957031,0.955078
71,0.942383,0.957031,0.963867,0.957031,0.951172
72,0.948242,0.958008,0.959961,0.958984,0.949219
73,0.950195,0.960938,0.961914,0.960938,0.950195
74,0.949219,0.958008,0.962891,0.962891,0.955078
75,0.943359,0.961914,0.960938,0.963867,0.956055
76,0.948242,0.961914,0.966797,0.963867,0.959961
77,0.948242,0.961914,0.967773,0.963867,0.960938
78,0.949219,0.962891,0.972656,0.963867,0.962891
79,0.948242,0.964844,0.977539,0.963867,0.96582
80,0.948242,0.963867,0.974609,0.962891,0.96875
81,0.952148,0.958984,0.978516,0.96875,0.97168
82,0.952148,0.958008,0.975586,0.97168,0.97168
83,0.954102,0.958008,0.980469,0.967773,0.972656
84,0.978516,0.97168,0.981445,0.973633,0.979492
85,0.978516,0.97168,0.976562,0.96875,0.978516
86,0.978516,0.976562,0.980469,0.974609,0.980469
87,0.982422,0.976562,0.981445,0.978516,0.980469
88,0.980469,0.982422,0.985352,0.970703,0.980469
89,0.980469,0.977539,0.985352,0.97168,0.979492
90,0.980469,0.977539,0.983398,0.975586,0.979492
91,0.980469,0.978516,0.984375,0.972656,0.980469
92,0.990234,0.982422,0.985352,0.977539,0.980469
93,0.996094,0.986328,0.991211,0.977539,0.980469
94,0.996094,0.987305,0.991211,0.978516,0.981445
95,0.990234,0.995117,0.990234,0.978516,0.982422
96,0.992188,0.998047,0.991211,0.979492,0.983398
97,0.992188,0.999023,0.994141,0.981445,0.983398
98,0.996094,0.996094,0.996094,0.980469,0.986328
99,0.995117,0.984375,0.99707,0.982422,0.985352
100,0.993164,0.982422,0.995117,0.987305,0.987305
101,0.989258,0.977539,0.992188,0.987305,0.985352
102,0.989258,0.977539,0.992188,0.991211,0.985352
103,0.992188,0.976562,0.990234,0.986328,0.985352
104,0.992188,0.97168,0.991211,0.982422,0.983398
105,0.989258,0.970703,0.991211,0.974609,0.982422
106,0.996094,0.980469,0.986328,0.983398,0.981445
107,0.996094,0.980469,0.984375,0.983398,0.981445
108,0.970703,0.966797,0.984375,0.984375,0.980469
109,0.970703,0.964844,0.972656,0.970703,0.973633
110,0.96582,0.963867,0.974609,0.979492,0.975586
111,0.964844,0.962891,0.978516,0.977539,0.977539
112,0.960938,0.960938,0.977539,0.976562,0.975586
113,0.961914,0.957031,0.975586,0.970703,0.974609
114,0.931641,0.948242,0.973633,0.970703,0.974609
115,0.928711,0.948242,0.973633,0.970703,0.97168
116,0.951172,0.956055,0.979492,0.969727,0.969727
117,0.951172,0.946289,0.979492,0.970703,0.970703
118,0.941406,0.931641,0.982422,0.957031,0.961914
119,0.947266,0.927734,0.979492,0.956055,0.960938
120,0.75,0.75,0.75,0.750977,0.75
121,0.777344,0.755859,0.750977,0.773438,0.763672
122,0.785156,0.803711,0.779297,0.78125,0.779297
123,0.799805,0.80957,0.785156,0.799805,0.795898
124,0.822266,0.817383,0.802734,0.802734,0.804688
125,0.829102,0.820312,0.806641,0.806641,0.814453
126,0.845703,0.844727,0.818359,0.819336,0.831055
127,0.854492,0.854492,0.833984,0.825195,0.839844
128,0.854492,0.844727,0.839844,0.845703,0.851562
129,0.849609,0.855469,0.845703,0.857422,0.851562
130,0.842773,0.855469,0.844727,0.84668,0.853516
131,0.852539,0.854492,0.848633,0.861328,0.853516
132,0.842773,0.844727,0.856445,0.852539,0.842773
133,0.835938,0.84375,0.854492,0.844727,0.833008
134,0.836914,0.826172,0.863281,0.850586,0.844727
135,0.832031,0.830078,0.834961,0.842773,0.842773
136,0.833984,0.833008,0.833984,0.84668,0.837891
137,0.835938,0.84375,0.827148,0.835938,0.836914
138,0.855469,0.845703,0.84082,0.844727,0.84375
139,0.851562,0.84668,0.845703,0.84668,0.841797
140,0.852539,0.841797,0.837891,0.841797,0.84082
141,0.865234,0.849609,0.850586,0.847656,0.845703
142,0.856445,0.839844,0.848633,0.841797,0.837891
143,0.848633,0.837891,0.84375,0.834961,0.835938
144,0.848633,0.842773,0.84082,0.833984,0.833008
145,0.858398,0.84668,0.842773,0.835938,0.835938
146,0.858398,0.848633,0.847656,0.836914,0.84082
147,0.857422,0.850586,0.852539,0.84668,0.84668
148,0.863281,0.853516,0.852539,0.847656,0.845703
149,0.861328,0.858398,0.854492,0.849609,0.84082
150,0.860352,0.850586,0.851562,0.845703,0.84082
151,0.867188,0.856445,0.850586,0.841797,0.842773
152,0.864258,0.856445,0.847656,0.837891,0.84082
153,0.861328,0.853516,0.84668,0.836914,0.837891
154,0.84668,0.859375,0.847656,0.839844,0.837891
155,0.838867,0.853516,0.850586,0.838867,0.84375
156,0.833984,0.833984,0.848633,0.838867,0.842773
157,0.81543,0.844727,0.857422,0.847656,0.851562
158,0.816406,0.852539,0.863281,0.849609,0.856445
159,0.827148,0.852539,0.868164,0.854492,0.862305
160,0.855469,0.856445,0.875,0.868164,0.871094
161,0.860352,0.854492,0.871094,0.875977,0.883789
162,0.867188,0.863281,0.874023,0.881836,0.891602
163,0.859375,0.857422,0.867188,0.876953,0.894531
164,0.860352,0.852539,0.865234,0.881836,0.886719
165,0.857422,0.853516,0.866211,0.890625,0.889648
166,0.888672,0.856445,0.865234,0.896484,0.892578
167,0.884766,0.855469,0.871094,0.897461,0.893555
168,0.890625,0.876953,0.87793,0.90625,0.891602
169,0.890625,0.882812,0.886719,0.907227,0.892578
170,0.884766,0.87207,0.884766,0.902344,0.890625
171,0.887695,0.883789,0.886719,0.902344,0.897461
172,0.901367,0.887695,0.887695,0.907227,0.896484
173,0.90625,0.882812,0.887695,0.90918,0.896484
174,0.912109,0.90625,0.891602,0.90625,0.897461
175,0.905273,0.892578,0.898438,0.90332,0.895508
176,0.887695,0.895508,0.897461,0.90332,0.895508
177,0.893555,0.886719,0.896484,0.90332,0.892578
178,0.860352,0.869141,0.885742,0.881836,0.892578
179,0.892578,0.876953,0.886719,0.878906,0.891602
180,0.655273,0.642578,0.646484,0.648438,0.642578
181,0.655273,0.647461,0.652344,0.65332,0.645508
182,0.657227,0.652344,0.652344,0.663086,0.647461
183,0.658203,0.652344,0.65625,0.663086,0.647461
184,0.65625,0.660156,0.657227,0.666016,0.648438
185,0.657227,0.661133,0.658203,0.666016,0.651367
186,0.662109,0.671875,0.661133,0.483398,0.652344
187,0.662109,0.675781,0.661133,0.668945,0.652344
188,0.663086,0.675781,0.661133,0.669922,0.652344
189,0.662109,0.679688,0.664062,0.671875,0.655273
190,0.662109,0.732422,0.663086,0.672852,0.655273
191,0.662109,0.736328,0.473633,0.675781,0.654297
192,0.661133,0.733398,0.677734,0.674805,0.658203
193,0.683594,0.737305,0.681641,0.677734,0.65918
194,0.688477,0.737305,0.6875,0.681641,0.661133
195,0.693359,0.742188,0.769531,0.682617,0.660156
196,0.689453,0.741211,0.74707,0.694336,0.667969
197,0.681641,0.74707,0.757812,0.694336,0.667969
198,0.84668,0.753906,0.811523,0.695312,0.670898
199,0.849609,0.766602,0.793945,0.700195,0.555664
200,0.821289,0.771484,0.791016,0.698242,0.680664
201,0.831055,0.775391,0.802734,0.709961,0.699219
202,0.825195,0.77832,0.839844,0.71582,0.704102
203,0.975586,0.788086,0.808594,0.748047,0.723633
204,0.958984,0.871094,0.832031,0.78418,0.745117
205,0.943359,0.887695,0.854492,0.764648,0.750977
206,0.950195,0.943359,0.857422,0.821289,0.78125
207,0.966797,0.946289,0.84082,0.856445,0.772461
208,0.867188,0.878906,0.835938,0.823242,0.798828
209,0.78125,0.883789,0.821289,0.811523,0.820312
210,0.791992,0.882812,0.8125,0.813477,0.801758
211,0.80957,0.878906,0.801758,0.791992,0.767578
212,0.806641,0.885742,0.811523,0.769531,0.783203
213,0.808594,0.817383,0.791992,0.764648,0.801758
214,0.798828,0.750977,0.772461,0.754883,0.791992
215,0.798828,0.738281,0.766602,0.750977,0.78418
216,0.801758,0.722656,0.77832,0.716797,0.775391
217,0.795898,0.708008,0.769531,0.726562,0.766602
218,0.734375,0.688477,0.767578,0.716797,0.75
219,0.762695,0.69043,0.764648,0.738281,0.77832
220,0.769531,0.743164,0.780273,0.675781,0.791992
221,0.760742,0.741211,0.794922,0.790039,0.8125
222,0.769531,0.751953,0.791992,0.786133,0.807617
223,0.768555,0.746094,0.789062,0.786133,0.818359
224,0.754883,0.758789,0.783203,0.804688,0.823242
225,0.793945,0.787109,0.801758,0.792969,0.822266
226,0.798828,0.795898,0.803711,0.804688,0.816406
227,0.802734,0.799805,0.806641,0.808594,0.816406
228,0.802734,0.804688,0.804688,0.813477,0.819336
229,0.805664,0.814453,0.798828,0.811523,0.806641
230,0.802734,0.834961,0.806641,0.824219,0.808594
231,0.799805,0.847656,0.810547,0.825195,0.8125
232,0.770508,0.839844,0.806641,0.829102,0.816406
233,0.774414,0.867188,0.806641,0.832031,0.805664
234,0.792969,0.873047,0.811523,0.831055,0.803711
235,0.796875,0.879883,0.8125,0.831055,0.806641
236,0.801758,0.879883,0.833008,0.844727,0.851562
237,0.801758,0.882812,0.833008,0.844727,0.852539
238,0.801758,0.87793,0.834961,0.844727,0.849609
239,0.801758,0.87793,0.834961,0.844727,0.856445
240,0.8125,0.882812,0.854492,0.883789,0.891602
241,0.808594,0.883789,0.847656,0.878906,0.886719
242,0.824219,0.885742,0.860352,0.876953,0.887695
243,0.825195,0.885742,0.865234,0.876953,0.887695
244,0.81543,0.883789,0.863281,0.863281,0.884766
245,0.837891,0.892578,0.865234,0.875,0.888672
246,0.836914,0.889648,0.857422,0.874023,0.892578
247,0.864258,0.890625,0.864258,0.874023,0.890625
248,0.862305,0.916992,0.865234,0.874023,0.889648
249,0.839844,0.894531,0.873047,0.873047,0.892578
250,0.837891,0.90625,0.875,0.871094,0.886719
251,0.818359,0.880859,0.863281,0.861328,0.884766
252,0.817383,0.893555,0.863281,0.863281,0.883789
253,0.845703,0.888672,0.863281,0.863281,0.882812
254,0.845703,0.894531,0.852539,0.859375,0.888672
255,0.899414,0.897461,0.858398,0.866211,0.897461
256,0.886719,0.900391,0.862305,0.866211,0.894531
257,0.905273,0.914062,0.869141,0.891602,0.896484
258,0.901367,0.912109,0.858398,0.900391,0.895508
259,0.933594,0.915039,0.875977,0.897461,0.896484
260,0.935547,0.90918,0.869141,0.893555,0.887695
261,0.93457,0.894531,0.864258,0.860352,0.867188
262,0.929688,0.897461,0.863281,0.858398,0.864258
263,0.936523,0.857422,0.864258,0.858398,0.866211
264,0.931641,0.852539,0.905273,0.856445,0.87207
265,0.96582,0.851562,0.864258,0.857422,0.87207
266,0.948242,0.895508,0.921875,0.911133,0.897461
267,0.944336,0.891602,0.919922,0.907227,0.895508
268,0.988281,0.904297,0.918945,0.916992,0.910156
269,0.930664,0.904297,0.905273,0.916992,0.910156
270,0.963867,0.902344,0.919922,0.920898,0.916016
271,0.970703,0.904297,0.927734,0.926758,0.929688
272,0.943359,0.902344,0.93457,0.925781,0.927734
273,0.96582,0.905273,0.928711,0.927734,0.926758
274,0.93457,0.910156,0.919922,0.925781,0.926758
275,0.939453,0.910156,0.923828,0.920898,0.938477
276,0.957031,0.908203,0.921875,0.930664,0.948242
277,0.938477,0.920898,0.924805,0.929688,0.953125
278,0.915039,0.922852,0.926758,0.924805,0.945312
279,0.922852,0.916992,0.927734,0.920898,0.938477
280,0.925781,0.921875,0.927734,0.929688,0.951172
281,0.919922,0.912109,0.925781,0.927734,0.952148
282,0.90625,0.910156,0.928711,0.93457,0.946289
283,0.941406,0.939453,0.944336,0.958984,0.959961
284,0.884766,0.943359,0.925781,0.966797,0.942383
285,0.895508,0.952148,0.942383,0.966797,0.947266
286,0.900391,0.94043,0.933594,0.958984,0.944336
287,0.907227,0.954102,0.944336,0.960938,0.936523
288,0.912109,0.953125,0.94043,0.953125,0.930664
289,0.916016,0.926758,0.941406,0.943359,0.928711
290,0.916992,0.924805,0.950195,0.941406,0.928711
291,0.916016,0.917969,0.957031,0.944336,0.927734
292,0.910156,0.901367,0.950195,0.942383,0.921875
293,0.90918,0.892578,0.930664,0.94043,0.912109
294,0.929688,0.891602,0.930664,0.925781,0.900391
295,0.925781,0.889648,0.923828,0.923828,0.90332
296,0.912109,0.874023,0.916016,0.922852,0.90332
297,0.90918,0.879883,0.925781,0.915039,0.901367
298,0.908203,0.875,0.925781,0.911133,0.900391
299,0.90918,0.886719,0.929688,0.912109,0.902344
300,0.905273,0.875,0.925781,0.907227,0.893555
301,0.875977,0.883014,0.880345,0.876055,0.876305
