"Batch", "n_estimators = 3", "n_estimators = 5", "n_estimators = 10", "n_estimators = 20", "n_estimators = 50"
1,0.870117,0.870117,0.870117,0.870117,0.870117
2,0.879883,0.879883,0.879883,0.879883,0.879883
3,0.885742,0.885742,0.885742,0.885742,0.885742
4,0.900391,0.900391,0.900391,0.900391,0.900391
5,0.883789,0.883789,0.883789,0.883789,0.883789
6,0.871094,0.871094,0.871094,0.871094,0.871094
7,0.87793,0.87793,0.87793,0.87793,0.87793
8,0.875,0.875,0.875,0.875,0.875
9,0.873047,0.873047,0.873047,0.873047,0.873047
10,0.880859,0.880859,0.880859,0.880859,0.880859
11,0.884766,0.884766,0.884766,0.884766,0.884766
12,0.880859,0.880859,0.880859,0.880859,0.880859
13,0.821289,0.821289,0.821289,0.821289,0.821289
14,0.863281,0.863281,0.863281,0.863281,0.863281
15,0.856445,0.856445,0.856445,0.856445,0.856445
16,0.845703,0.845703,0.845703,0.845703,0.845703
17,0.845703,0.845703,0.845703,0.845703,0.845703
18,0.84668,0.84668,0.84668,0.84668,0.84668
19,0.864258,0.864258,0.864258,0.864258,0.864258
20,0.871094,0.871094,0.871094,0.871094,0.871094
21,0.864258,0.864258,0.864258,0.864258,0.864258
22,0.868164,0.868164,0.868164,0.868164,0.868164
23,0.744141,0.744141,0.744141,0.744141,0.744141
24,0.870117,0.870117,0.870117,0.870117,0.870117
25,0.870117,0.870117,0.870117,0.870117,0.870117
26,0.886719,0.886719,0.886719,0.886719,0.886719
27,0.900391,0.900391,0.900391,0.900391,0.900391
28,0.838867,0.830078,0.830078,0.830078,0.830078
29,0.875,0.867188,0.867188,0.867188,0.867188
30,0.666016,0.625977,0.625977,0.625977,0.625977
31,0.895508,0.879883,0.879883,0.879883,0.879883
32,0.863281,0.860352,0.860352,0.860352,0.860352
33,0.879883,0.875,0.875,0.875,0.875
34,0.874023,0.87207,0.87207,0.87207,0.87207
35,0.882812,0.881836,0.881836,0.881836,0.881836
36,0.902344,0.894531,0.894531,0.894531,0.894531
37,0.912109,0.907227,0.907227,0.907227,0.907227
38,0.917969,0.910156,0.910156,0.910156,0.910156
39,0.916016,0.90918,0.90918,0.90918,0.90918
40,0.916016,0.911133,0.911133,0.911133,0.911133
41,0.924805,0.917969,0.917969,0.917969,0.917969
42,0.920898,0.915039,0.915039,0.915039,0.915039
43,0.927734,0.924805,0.924805,0.924805,0.924805
44,0.929688,0.925781,0.925781,0.925781,0.925781
45,0.926758,0.923828,0.923828,0.923828,0.923828
46,0.926758,0.922852,0.922852,0.922852,0.922852
47,0.926758,0.924805,0.924805,0.924805,0.924805
48,0.924805,0.922852,0.922852,0.922852,0.922852
49,0.923828,0.920898,0.920898,0.920898,0.920898
50,0.927734,0.923828,0.923828,0.923828,0.923828
51,0.922852,0.919922,0.919922,0.919922,0.919922
52,0.922852,0.921875,0.921875,0.921875,0.921875
53,0.923828,0.922852,0.922852,0.922852,0.922852
54,0.922852,0.920898,0.920898,0.920898,0.920898
55,0.924805,0.923828,0.923828,0.923828,0.923828
56,0.924805,0.924805,0.924805,0.924805,0.924805
57,0.926758,0.925781,0.925781,0.925781,0.925781
58,0.926758,0.925781,0.925781,0.925781,0.925781
59,0.926758,0.925781,0.925781,0.925781,0.925781
60,0.926758,0.924805,0.924805,0.924805,0.924805
61,0.927734,0.926758,0.926758,0.926758,0.926758
62,0.930664,0.928711,0.928711,0.928711,0.928711
63,0.931641,0.929688,0.929688,0.929688,0.929688
64,0.936523,0.935547,0.935547,0.935547,0.935547
65,0.935547,0.933594,0.933594,0.933594,0.933594
66,0.939453,0.936523,0.936523,0.936523,0.936523
67,0.936523,0.935547,0.935547,0.935547,0.935547
68,0.943359,0.939453,0.939453,0.939453,0.939453
69,0.94043,0.938477,0.938477,0.938477,0.938477
70,0.946289,0.942383,0.942383,0.942383,0.942383
71,0.947266,0.944336,0.944336,0.944336,0.944336
72,0.948242,0.945312,0.945312,0.945312,0.945312
73,0.950195,0.947266,0.947266,0.947266,0.947266
74,0.953125,0.951172,0.951172,0.951172,0.951172
75,0.954102,0.952148,0.952148,0.952148,0.952148
76,0.955078,0.953125,0.953125,0.953125,0.953125
77,0.956055,0.954102,0.954102,0.954102,0.954102
78,0.957031,0.955078,0.955078,0.955078,0.955078
79,0.958984,0.957031,0.957031,0.957031,0.957031
80,0.958984,0.958008,0.958008,0.958008,0.958008
81,0.960938,0.958008,0.958008,0.958008,0.958008
82,0.960938,0.958984,0.958984,0.958984,0.958984
83,0.961914,0.959961,0.959961,0.959961,0.959961
84,0.960938,0.958984,0.958984,0.958984,0.958984
85,0.959961,0.959961,0.959961,0.959961,0.959961
86,0.958008,0.958008,0.958008,0.958008,0.958008
87,0.959961,0.959961,0.959961,0.959961,0.959961
88,0.962891,0.961914,0.961914,0.961914,0.961914
89,0.963867,0.962891,0.962891,0.962891,0.962891
90,0.963867,0.961914,0.961914,0.961914,0.961914
91,0.96582,0.963867,0.963867,0.963867,0.963867
92,0.96582,0.963867,0.963867,0.963867,0.963867
93,0.967773,0.96582,0.96582,0.96582,0.96582
94,0.970703,0.967773,0.967773,0.967773,0.967773
95,0.970703,0.96875,0.96875,0.96875,0.96875
96,0.972656,0.969727,0.969727,0.969727,0.969727
97,0.972656,0.97168,0.97168,0.97168,0.97168
98,0.972656,0.97168,0.97168,0.97168,0.97168
99,0.973633,0.972656,0.972656,0.972656,0.972656
100,0.974609,0.973633,0.973633,0.973633,0.973633
101,0.974609,0.973633,0.973633,0.973633,0.973633
102,0.977539,0.976562,0.976562,0.976562,0.976562
103,0.977539,0.976562,0.976562,0.976562,0.976562
104,0.977539,0.976562,0.976562,0.976562,0.976562
105,0.979492,0.978516,0.978516,0.978516,0.978516
106,0.980469,0.979492,0.979492,0.979492,0.979492
107,0.980469,0.979492,0.979492,0.979492,0.979492
108,0.981445,0.980469,0.980469,0.980469,0.980469
109,0.985352,0.984375,0.984375,0.984375,0.984375
110,0.985352,0.984375,0.984375,0.984375,0.984375
111,0.985352,0.984375,0.984375,0.984375,0.984375
112,0.987305,0.986328,0.986328,0.986328,0.986328
113,0.991211,0.990234,0.990234,0.990234,0.990234
114,0.991211,0.990234,0.990234,0.990234,0.990234
115,0.992188,0.992188,0.992188,0.992188,0.992188
116,0.992188,0.991211,0.991211,0.991211,0.991211
117,0.992188,0.991211,0.991211,0.991211,0.991211
118,0.992188,0.991211,0.991211,0.991211,0.991211
119,0.992188,0.991211,0.991211,0.991211,0.991211
120,0.75,0.75,0.75,0.75,0.75
121,0.751953,0.75293,0.75293,0.75293,0.75293
122,0.758789,0.759766,0.759766,0.759766,0.759766
123,0.542969,0.75293,0.75293,0.75293,0.75293
124,0.761719,0.768555,0.768555,0.768555,0.768555
125,0.767578,0.772461,0.771484,0.771484,0.771484
126,0.77832,0.777344,0.776367,0.776367,0.776367
127,0.77832,0.77832,0.77832,0.77832,0.77832
128,0.78125,0.780273,0.780273,0.780273,0.780273
129,0.78418,0.783203,0.783203,0.783203,0.783203
130,0.785156,0.78418,0.78418,0.78418,0.78418
131,0.788086,0.787109,0.787109,0.787109,0.787109
132,0.789062,0.787109,0.787109,0.787109,0.787109
133,0.789062,0.789062,0.789062,0.789062,0.789062
134,0.792969,0.791992,0.791016,0.791016,0.791016
135,0.793945,0.794922,0.794922,0.794922,0.794922
136,0.794922,0.795898,0.795898,0.795898,0.795898
137,0.794922,0.795898,0.795898,0.795898,0.795898
138,0.795898,0.796875,0.796875,0.796875,0.796875
139,0.795898,0.796875,0.796875,0.796875,0.796875
140,0.797852,0.799805,0.796875,0.796875,0.796875
141,0.795898,0.798828,0.796875,0.796875,0.796875
142,0.796875,0.799805,0.798828,0.798828,0.798828
143,0.796875,0.799805,0.799805,0.799805,0.799805
144,0.795898,0.798828,0.798828,0.798828,0.798828
145,0.798828,0.799805,0.798828,0.798828,0.798828
146,0.798828,0.799805,0.799805,0.799805,0.799805
147,0.799805,0.800781,0.800781,0.800781,0.800781
148,0.798828,0.798828,0.798828,0.798828,0.798828
149,0.798828,0.798828,0.798828,0.798828,0.798828
150,0.799805,0.799805,0.799805,0.799805,0.799805
151,0.800781,0.800781,0.800781,0.800781,0.800781
152,0.799805,0.799805,0.799805,0.799805,0.799805
153,0.796875,0.795898,0.795898,0.795898,0.795898
154,0.796875,0.795898,0.795898,0.795898,0.795898
155,0.796875,0.795898,0.795898,0.795898,0.795898
156,0.796875,0.795898,0.795898,0.795898,0.795898
157,0.794922,0.795898,0.795898,0.795898,0.795898
158,0.671875,0.794922,0.792969,0.792969,0.792969
159,0.746094,0.795898,0.794922,0.794922,0.794922
160,0.728516,0.72168,0.71582,0.71582,0.71582
161,0.722656,0.720703,0.714844,0.714844,0.714844
162,0.737305,0.736328,0.728516,0.728516,0.728516
163,0.732422,0.733398,0.726562,0.726562,0.726562
164,0.727539,0.731445,0.723633,0.723633,0.723633
165,0.871094,0.727539,0.548828,0.548828,0.548828
166,0.879883,0.728516,0.719727,0.719727,0.719727
167,0.885742,0.735352,0.732422,0.732422,0.732422
168,0.891602,0.744141,0.738281,0.738281,0.738281
169,0.895508,0.748047,0.744141,0.744141,0.744141
170,0.897461,0.75,0.748047,0.748047,0.748047
171,0.896484,0.750977,0.749023,0.749023,0.749023
172,0.894531,0.748047,0.74707,0.74707,0.74707
173,0.895508,0.751953,0.75,0.75,0.75
174,0.897461,0.751953,0.750977,0.750977,0.750977
175,0.899414,0.751953,0.75,0.75,0.75
176,0.901367,0.75293,0.750977,0.750977,0.750977
177,0.904297,0.754883,0.75293,0.75293,0.75293
178,0.90332,0.756836,0.754883,0.754883,0.754883
179,0.902344,0.757812,0.755859,0.755859,0.755859
180,0.75293,0.677734,0.692383,0.692383,0.692383
181,0.751953,0.675781,0.689453,0.689453,0.689453
182,0.759766,0.68457,0.696289,0.696289,0.696289
183,0.760742,0.68457,0.694336,0.694336,0.694336
184,0.762695,0.6875,0.693359,0.693359,0.693359
185,0.766602,0.6875,0.743164,0.743164,0.743164
186,0.771484,0.679688,0.732422,0.732422,0.732422
187,0.772461,0.674805,0.726562,0.726562,0.726562
188,0.775391,0.775391,0.777344,0.777344,0.777344
189,0.775391,0.775391,0.777344,0.777344,0.777344
190,0.776367,0.776367,0.780273,0.780273,0.780273
191,0.779297,0.779297,0.786133,0.786133,0.786133
192,0.78125,0.78125,0.788086,0.788086,0.788086
193,0.78418,0.78418,0.794922,0.794922,0.794922
194,0.785156,0.785156,0.795898,0.795898,0.795898
195,0.786133,0.786133,0.796875,0.796875,0.796875
196,0.794922,0.794922,0.803711,0.803711,0.803711
197,0.795898,0.795898,0.805664,0.805664,0.805664
198,0.830078,0.830078,0.790039,0.790039,0.790039
199,0.902344,0.902344,0.820312,0.820312,0.820312
200,0.333008,0.542969,0.601562,0.601562,0.601562
201,0.806641,0.832031,0.830078,0.830078,0.830078
202,0.844727,0.832031,0.833984,0.833984,0.833984
203,0.842773,0.835938,0.834961,0.834961,0.834961
204,0.87793,0.856445,0.869141,0.869141,0.869141
205,0.889648,0.866211,0.882812,0.882812,0.882812
206,0.869141,0.871094,0.870117,0.870117,0.870117
207,0.875,0.861328,0.861328,0.861328,0.861328
208,0.754883,0.737305,0.835938,0.834961,0.834961
209,0.798828,0.802734,0.824219,0.823242,0.823242
210,0.405273,0.547852,0.647461,0.647461,0.647461
211,0.698242,0.766602,0.785156,0.785156,0.785156
212,0.677734,0.740234,0.770508,0.770508,0.770508
213,0.630859,0.697266,0.731445,0.731445,0.731445
214,0.750977,0.75,0.758789,0.758789,0.758789
215,0.737305,0.717773,0.72168,0.72168,0.72168
216,0.754883,0.705078,0.723633,0.723633,0.723633
217,0.755859,0.71875,0.719727,0.719727,0.719727
218,0.749023,0.706055,0.632812,0.632812,0.632812
219,0.75,0.755859,0.674805,0.674805,0.674805
220,0.795898,0.77832,0.683594,0.683594,0.683594
221,0.811523,0.811523,0.689453,0.689453,0.689453
222,0.822266,0.819336,0.699219,0.699219,0.699219
223,0.829102,0.819336,0.703125,0.703125,0.703125
224,0.833008,0.826172,0.720703,0.720703,0.720703
225,0.84375,0.833984,0.833984,0.833984,0.833984
226,0.848633,0.839844,0.839844,0.839844,0.839844
227,0.852539,0.839844,0.839844,0.839844,0.839844
228,0.850586,0.841797,0.841797,0.841797,0.841797
229,0.84375,0.837891,0.837891,0.837891,0.837891
230,0.839844,0.836914,0.836914,0.836914,0.836914
231,0.844727,0.839844,0.839844,0.839844,0.839844
232,0.84668,0.84082,0.84082,0.84082,0.84082
233,0.84082,0.838867,0.838867,0.838867,0.838867
234,0.844727,0.84082,0.84082,0.84082,0.84082
235,0.845703,0.84082,0.839844,0.839844,0.839844
236,0.856445,0.849609,0.849609,0.849609,0.849609
237,0.860352,0.852539,0.852539,0.852539,0.852539
238,0.861328,0.856445,0.856445,0.856445,0.856445
239,0.864258,0.854492,0.854492,0.854492,0.854492
240,0.874023,0.864258,0.864258,0.864258,0.864258
241,0.874023,0.865234,0.865234,0.865234,0.865234
242,0.875977,0.867188,0.866211,0.866211,0.866211
243,0.875,0.868164,0.867188,0.867188,0.867188
244,0.876953,0.866211,0.866211,0.866211,0.866211
245,0.87793,0.867188,0.867188,0.867188,0.867188
246,0.878906,0.868164,0.868164,0.868164,0.868164
247,0.878906,0.870117,0.870117,0.870117,0.870117
248,0.878906,0.874023,0.874023,0.874023,0.874023
249,0.878906,0.87793,0.87793,0.87793,0.87793
250,0.879883,0.87793,0.87793,0.87793,0.87793
251,0.879883,0.876953,0.876953,0.876953,0.876953
252,0.879883,0.874023,0.874023,0.874023,0.874023
253,0.725586,0.881836,0.861328,0.861328,0.861328
254,0.758789,0.880859,0.863281,0.863281,0.863281
255,0.791016,0.885742,0.883789,0.883789,0.883789
256,0.804688,0.885742,0.883789,0.883789,0.883789
257,0.795898,0.881836,0.875977,0.875977,0.875977
258,0.827148,0.886719,0.886719,0.886719,0.886719
259,0.830078,0.884766,0.884766,0.884766,0.884766
260,0.837891,0.883789,0.883789,0.883789,0.883789
261,0.84668,0.884766,0.883789,0.883789,0.883789
262,0.842773,0.886719,0.885742,0.885742,0.885742
263,0.844727,0.888672,0.886719,0.886719,0.886719
264,0.845703,0.888672,0.888672,0.888672,0.888672
265,0.855469,0.890625,0.890625,0.890625,0.890625
266,0.867188,0.890625,0.890625,0.890625,0.890625
267,0.873047,0.890625,0.890625,0.890625,0.890625
268,0.866211,0.709961,0.8125,0.8125,0.8125
269,0.865234,0.864258,0.890625,0.890625,0.890625
270,0.867188,0.833984,0.886719,0.886719,0.886719
271,0.871094,0.838867,0.886719,0.886719,0.886719
272,0.867188,0.839844,0.885742,0.885742,0.885742
273,0.866211,0.855469,0.892578,0.892578,0.892578
274,0.862305,0.850586,0.892578,0.892578,0.892578
275,0.333008,0.666016,0.666016,0.666016,0.666016
276,0.803711,0.754883,0.800781,0.800781,0.800781
277,0.883789,0.795898,0.835938,0.835938,0.835938
278,0.931641,0.807617,0.857422,0.857422,0.857422
279,0.928711,0.805664,0.855469,0.855469,0.855469
280,0.925781,0.806641,0.856445,0.856445,0.856445
281,0.911133,0.800781,0.845703,0.845703,0.845703
282,0.911133,0.798828,0.848633,0.848633,0.848633
283,0.902344,0.800781,0.842773,0.842773,0.842773
284,0.904297,0.798828,0.836914,0.836914,0.836914
285,0.902344,0.795898,0.836914,0.836914,0.836914
286,0.898438,0.794922,0.829102,0.829102,0.829102
287,0.895508,0.794922,0.822266,0.822266,0.822266
288,0.858398,0.869141,0.783203,0.783203,0.783203
289,0.858398,0.87207,0.78418,0.78418,0.78418
290,0.859375,0.873047,0.873047,0.873047,0.873047
291,0.861328,0.873047,0.873047,0.873047,0.873047
292,0.859375,0.871094,0.870117,0.870117,0.870117
293,0.860352,0.870117,0.870117,0.870117,0.870117
294,0.865234,0.870117,0.870117,0.870117,0.870117
295,0.862305,0.902344,0.868164,0.868164,0.868164
296,0.865234,0.90332,0.871094,0.871094,0.871094
297,0.867188,0.899414,0.869141,0.869141,0.869141
298,0.866211,0.900391,0.900391,0.900391,0.900391
299,0.869141,0.90332,0.90332,0.90332,0.90332
300,0.870117,0.899414,0.899414,0.899414,0.899414
301,0.859574,0.851087,0.851589,0.851582,0.851582
